VisitID,Restaurant,ServerEmpID,ServerName,StartDateHired,EndDateHired,HourlyRate,ServerBirthDate,ServerTIN,VisitDate,VisitTime,MealType,PartySize,Genders,WaitTime,CustomerName,CustomerPhone,CustomerEmail,LoyaltyMember,FoodBill,TipAmount,DiscountApplied,PaymentMethod,orderedAlcohol,AlcoholBill
16,Patty Palace,2018,"Adams, Chloe",1/2/18,2/9/21,17.75,8/11/72,248-68-7459,2/1/21,8:45,Take-Out,3,mmf,1,Imogene Ayala,(869) 714-5425,tristique@icloud.org,TRUE,67.56,0,0.1,Cash,no,0
17,Big Bite Burgers,1499,"Hernandez, Charlotte",9/27/19,1/26/20,10.25,2/5/61,293-37-3959,1/4/20,16:26,Dinner,2,mu,0,Giacomo Henson,(472) 275-2645,mollis.duis@hotmail.com,TRUE,47.77,0.18,0.1,Mobile Payment,no,0
18,Stacked & Sizzled,1968,"Rodriguez, Mason",3/6/20,,21.5,10/22/94,236-64-8714,6/21/23,20:14,Dinner,1,f,0,,,,FALSE,23.01,0.15,0,Cash,yes,10.3125
19,Grill & Thrill,2980,"Wright, Matthew",5/13/24,,11.5,3/28/02,458-88-2635,6/23/24,13:15,Take-Out,1,f,0,,,,FALSE,23.52,0,0,Mobile Payment,no,0
20,Burger Haven,2114,"King, Noah",11/2/20,,20.25,5/7/84,237-74-6327,2/18/24,9:09,Breakfast,2,mm,1,,,,FALSE,13.19,0.3,0,Credit Card,no,0
21,Grill & Thrill,1373,"Roberts, Scarlett",3/14/23,1/18/24,11.5,8/22/03,498-69-1346,8/2/23,15:57,Lunch,1,f,0,,,,FALSE,10.4,0.25,0,Cash,no,0
22,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,10/17/23,20:19,Dinner,2,fm,0,Geraldine Wallace,(655) 473-7865,lacinia.mattis@protonmail.ca,TRUE,43.23,0.15,0.1,Mobile Payment,yes,20.625
23,Patty Palace,1961,"Clark, Abigail",9/10/21,9/19/23,15.25,1/23/02,951-69-4963,9/24/21,20:22,Dinner,2,uu,0,,,,FALSE,40.19,0.25,0,Mobile Payment,yes,20.625
24,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,12/13/24,7:12,Breakfast,2,um,1,,,,FALSE,24.21,0.15,0,Credit Card,no,0
25,Bite & Bun,1585,"Young, Jackson",12/24/23,6/6/24,10.25,9/2/73,302-59-9325,4/13/24,11:34,Lunch,4,fmmu,9,,,,FALSE,64.98,0.15,0,Cash,no,0
26,Big Bite Burgers,2109,"White, Amelia K.",8/21/23,12/20/23,10.25,2/2/65,873-90-9629,11/16/23,11:44,Breakfast,3,ufm,1,,,,FALSE,15.26,0.25,0,Mobile Payment,no,0
27,The Burger Joint,2405,"Baker, Benjamin",7/4/18,,26.5,7/2/84,917-69-3373,9/20/18,14:47,Lunch,4,fmfm,0,Carlos Briggs,(318) 679-7655,lectus@outlook.org,TRUE,43.84,0.2,0.1,Cash,no,0
28,Bite & Bun,1024,"Hall, Noah",11/3/21,,17.75,9/27/92,189-47-6053,3/13/24,11:19,Breakfast,1,m,1,Macey Berger,(145) 364-6735,orci.donec@outlook.net,TRUE,5.93,0.2,0.1,Credit Card,no,0
29,Bite & Bun,1024,"Hall, Noah",11/3/21,,17.75,9/27/92,189-47-6053,8/26/24,12:12,Lunch,1,f,11,Hilel Rocha,(494) 448-9414,cras.convallis@outlook.net,TRUE,16.14,0.25,0.1,Cash,no,0
30,Patty Palace,2833,"Nelson, Harper",7/21/18,9/22/19,12.75,1/11/70,361-26-2959,12/13/18,18:21,Take-Out,2,nf,1,Lara Strong,(963) 614-6363,nibh.quisque@web.net,TRUE,37.93,0,0.1,Mobile Payment,no,0
31,Patty Palace,1843,"Walker, Mia",10/24/22,,15.25,7/3/65,700-18-1686,11/25/22,7:54,Breakfast,1,f,1,,,,FALSE,7.98,0.18,0,Cash,no,0
32,Stacked & Sizzled,2731,"Brown, Olivia",10/21/19,7/7/23,19,,,11/7/21,16:29,Dinner,1,m,0,Kelly Wood,(570) 636-1222,vel@hotmail.org,TRUE,20.74,0.2,0.1,Mobile Payment,yes,10.3125
33,The Burger Joint,2405,"Baker, Benjamin",7/4/18,,26.5,7/2/84,917-69-3373,9/17/23,14:45,Lunch,2,mf,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,19.18,0.18,0.1,Cash,no,0
34,Patty Palace,2018,"Adams, Chloe",1/2/18,2/9/21,17.75,8/11/72,248-68-7459,11/25/18,13:16,Lunch,4,mfmf,0,,,,FALSE,71.22,0.15,0,Credit Card,no,0
35,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,7/13/23,20:27,Dinner,6,ummffm,0,,,,FALSE,123.47,0.2,0,Mobile Payment,no,0
36,Patty Palace,2770,"Thomas, Benjamin",5/27/22,8/11/22,10.25,4/17/85,192-19-7729,7/25/22,5:25,Breakfast,2,fu,0,,,,FALSE,13.73,0.15,0,Credit Card,no,0
37,The Burger Joint,3333,"Lewis, Ethan",9/3/18,1/9/19,10.25,6/2/07,,11/3/18,6:28,Breakfast,2,mm,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,16.05,0.25,0.1,Credit Card,no,0
38,Burger Haven,2522,"Jackson, Oliver",8/5/18,8/30/18,10.25,3/9/73,820-52-8087,8/14/18,23:15,Take-Out,1,f,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,15.94,0,0.1,Mobile Payment,no,0
39,Big Bite Burgers,1939,"Scott, Olivia",7/11/19,9/8/22,17.75,2/1/83,287-41-7975,2/26/20,8:26,Breakfast,4,mnmm,1,,,,FALSE,35.51,0.18,0,Cash,no,0
40,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,5/16/24,7:36,Take-Out,2,uf,1,,,,FALSE,49.5,0,0,Credit Card,no,0
41,Patty Palace,1236,"Baker, Samuel",4/10/24,8/8/24,10.25,10/22/72,902-11-4766,7/23/24,15:22,Lunch,3,mmm,0,,,,FALSE,37.26,0.15,0,Mobile Payment,no,0
42,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,7/19/24,18:22,Dinner,4,mmfn,10,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,77.3,0.2,0.15,Mobile Payment,yes,41.25
43,Burger Haven,1916,"Hall, Lucas",4/22/24,5/17/24,10.25,10/8/03,791-43-3722,4/27/24,18:07,Dinner,2,uf,7,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,35.91,0.15,0.15,Cash,yes,20.625
44,Big Bite Burgers,1658,"Smith, Emily",1/14/20,,21.5,5/27/04,881-56-2018,8/10/24,14:35,Take-Out,3,muu,0,,,,FALSE,64.24,0,0,Cash,no,0
45,Burger Haven,2522,"Jackson, Oliver",8/5/18,8/30/18,10.25,3/9/73,820-52-8087,8/10/18,6:43,Breakfast,1,f,0,,,,FALSE,9.57,0.15,0,Mobile Payment,no,0
46,Grill & Thrill,3048,"Nelson, Isabella",5/16/19,,24,,605-84-2363,9/27/23,23:52,Take-Out,5,fmmuu,0,,,,FALSE,92.68,0,0,Credit Card,no,0
47,The Burger Joint,3333,"Lewis, Ethan",9/3/18,1/9/19,10.25,6/2/07,,10/29/18,20:17,Dinner,4,fmfu,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,77.19,0.15,0.1,Cash,yes,41.25
48,Bite & Bun,1921,"Walker, Grace",3/7/20,,21.5,1/5/96,672-38-8835,8/20/23,13:45,Lunch,2,mf,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,29.17,0.18,0.15,Cash,no,0
49,The Burger Joint,2405,"Baker, Benjamin",7/4/18,,26.5,7/2/84,917-69-3373,4/17/21,17:43,Take-Out,1,m,0,,,,FALSE,17.89,0,0,Cash,no,0
50,Bite & Bun,1585,"Young, Jackson",12/24/23,6/6/24,10.25,9/2/73,302-59-9325,1/18/24,20:14,Dinner,4,fmff,0,,,,FALSE,77.97,0.15,0,Mobile Payment,yes,41.25
51,Big Bite Burgers,1905,"Young, Jackson",4/5/21,4/8/23,15.25,11/16/93,,10/11/21,,Lunch,1,m,0,,,,FALSE,17.68,0.15,0,Credit Card,yes,10.3125
52,The Burger Joint,3154,"Taylor, Ava",5/14/21,,19,12/21/64,,7/19/23,5:39,Breakfast,1,u,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,10.68,0.2,0.1,Mobile Payment,no,0
53,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,11/17/22,17:55,Dinner,2,mf,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,46.8,0.2,0.1,Mobile Payment,no,0
54,Grill & Thrill,2193,"King, Lily",3/12/21,12/31/22,14,11/21/94,581-14-8052,12/20/21,11:58,Lunch,4,mfmu,6,,,,FALSE,51.72,0.22,0,Cash,no,0
55,The Burger Joint,2405,"Baker, Benjamin",7/4/18,,26.5,7/2/84,917-69-3373,11/15/23,19:26,Dinner,1,u,13,,,,FALSE,23.69,0.2,0,Credit Card,yes,10.3125
56,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,9/11/23,16:17,Dinner,2,fm,0,,,,FALSE,44.94,0.25,0,Cash,yes,20.625
57,Grill & Thrill,2980,"Wright, Matthew",5/13/24,,11.5,3/28/02,458-88-2635,7/1/24,5:55,Breakfast,4,mnfu,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,43.49,0.15,0.1,Credit Card,no,0
58,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,1/16/21,16:49,Take-Out,5,mfmmm,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,103.44,0,0.1,Credit Card,no,0
59,Stacked & Sizzled,2835,"Perez, Jacob",11/15/19,10/20/23,19,12/28/61,149-52-9500,3/11/22,21:22,Take-Out,1,f,0,,,,FALSE,17.8,0,0,Credit Card,no,0
60,Big Bite Burgers,1881,"Gonzalez, Mia",12/7/18,3/4/22,17.75,10/10/74,666-52-2878,9/6/19,,Breakfast,2,nm,0,,,,FALSE,16.13,0.22,0,Credit Card,no,0
61,Grill & Thrill,3048,"Nelson, Isabella",5/16/19,,24,,605-84-2363,6/15/19,12:35,Lunch,3,umm,3,,,,FALSE,34.54,0.2,0,Mobile Payment,no,0
62,Stacked & Sizzled,2599,"Carter, Lucas",1/22/21,8/13/23,16.5,8/25/92,202-42-1725,1/29/21,16:21,Dinner,2,ff,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,37.8,0.2,0.1,Cash,yes,20.625
63,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,3/28/19,14:11,Lunch,1,m,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,14.44,0.22,0.15,Cash,yes,10.3125
64,Big Bite Burgers,1905,"Young, Jackson",4/5/21,4/8/23,15.25,11/16/93,,10/6/21,9:45,Breakfast,2,mm,1,,,,FALSE,21.19,0.18,0,Cash,no,0
65,Grill & Thrill,2190,"Martinez, Elijah",1/1/22,9/23/22,11.5,4/25/83,548-64-3849,2/6/22,11:11,Lunch,5,fmmff,11,,,,FALSE,42.04,0.22,0,Mobile Payment,no,0
66,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,12/17/22,18:07,Dinner,2,um,4,,,,FALSE,50.65,0.2,0,Cash,yes,20.625
67,Bite & Bun,1921,"Walker, Grace",3/7/20,,21.5,1/5/96,672-38-8835,7/24/22,5:37,Take-Out,1,f,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,24.28,0,0.1,Cash,no,0
68,Big Bite Burgers,1939,"Scott, Olivia",7/11/19,9/8/22,17.75,2/1/83,287-41-7975,4/19/22,22:43,Take-Out,2,mf,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,43.68,0,0.1,Cash,no,0
69,Burger Haven,3311,"Hernandez, Charlotte",10/3/22,,15.25,1/1/96,827-14-5685,1/16/23,20:43,Dinner,4,ffff,0,,,,FALSE,79.06,0.15,0,Credit Card,no,0
70,The Burger Joint,3333,"Lewis, Ethan",9/3/18,1/9/19,10.25,6/2/07,,10/8/18,19:28,Dinner,6,mumfff,9,,,,FALSE,133.19,0.15,0,Mobile Payment,no,0
71,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,1/19/23,14:12,Lunch,2,ff,0,,,,FALSE,36.34,0.18,0,Cash,no,0
72,Burger Haven,3311,"Hernandez, Charlotte",10/3/22,,15.25,1/1/96,827-14-5685,1/22/23,11:03,Lunch,2,nf,11,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,31.23,0.22,0.1,Credit Card,no,0
73,Big Bite Burgers,1589,"Green, David",4/9/22,,16.5,7/13/87,544-47-7241,12/26/23,12:56,Lunch,2,ff,4,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,36.7,0.15,0.1,Credit Card,no,0
74,Burger Haven,2522,"Jackson, Oliver",8/5/18,8/30/18,10.25,3/9/73,820-52-8087,8/14/18,12:28,Lunch,1,n,6,,,,FALSE,13.93,0.18,0,Cash,yes,10.3125
75,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,11/11/24,10:17,Breakfast,5,mumfm,0,,,,FALSE,53.96,0.15,0,Mobile Payment,no,0
76,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,5/22/19,19:18,Dinner,2,uf,7,,,,FALSE,43.89,0.15,0,Cash,yes,20.625
77,Bite & Bun,1585,"Young, Jackson",12/24/23,6/6/24,10.25,9/2/73,302-59-9325,3/10/24,11:53,Take-Out,2,fm,1,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,44.71,0,0.15,Cash,no,0
78,Patty Palace,1576,"Davis, Christopher",5/22/23,,11.7,11/3/82,196-94-5407,10/31/23,21:25,Take-Out,3,fff,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,65.09,0,0.1,Credit Card,no,0
79,Stacked & Sizzled,2731,"Brown, Olivia",10/21/19,7/7/23,19,,,4/3/21,19:43,Dinner,3,ffm,5,,,,FALSE,52.25,0.3,0,Cash,yes,30.9375
80,Patty Palace,2770,"Thomas, Benjamin",5/27/22,8/11/22,10.25,4/17/85,192-19-7729,7/30/22,11:03,Breakfast,4,fmff,1,,,,FALSE,26.11,0.2,0,Cash,no,0
81,The Burger Joint,3333,"Lewis, Ethan",9/3/18,1/9/19,10.25,6/2/07,,9/8/18,13:55,Take-Out,3,umn,0,,,,FALSE,58.79,0,0,Cash,no,0
82,Burger Haven,2522,"Jackson, Oliver",8/5/18,8/30/18,10.25,3/9/73,820-52-8087,8/16/18,16:08,Dinner,2,mf,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,41.75,0.18,0.1,Credit Card,no,0
83,Grill & Thrill,2980,"Wright, Matthew",5/13/24,,11.5,3/28/02,458-88-2635,8/14/24,5:34,Take-Out,1,m,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,17.16,0,0.1,Mobile Payment,no,0
84,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,4/10/24,13:03,Lunch,2,nf,0,,,,FALSE,17.68,0.15,0,Credit Card,no,0
85,Stacked & Sizzled,1968,"Rodriguez, Mason",3/6/20,,21.5,10/22/94,236-64-8714,8/20/21,19:07,Take-Out,2,mu,1,,,,FALSE,30,0,0,Mobile Payment,no,0
86,Bite & Bun,1585,"Young, Jackson",12/24/23,6/6/24,10.25,9/2/73,302-59-9325,1/24/24,11:16,Lunch,1,f,9,,,,FALSE,15.09,0.2,0,Mobile Payment,yes,10.3125
87,Stacked & Sizzled,2731,"Brown, Olivia",10/21/19,7/7/23,19,,,1/1/22,13:19,Take-Out,1,m,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,16.23,0,0.1,Cash,no,0
88,Stacked & Sizzled,2731,"Brown, Olivia",10/21/19,7/7/23,19,,,2/16/20,23:01,Take-Out,1,m,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,15.88,0,0.1,Mobile Payment,no,0
89,Patty Palace,1843,"Walker, Mia",10/24/22,,15.25,7/3/65,700-18-1686,4/19/24,19:40,Dinner,1,f,11,,,,FALSE,24.48,0.2,0,Cash,yes,10.3125
90,Patty Palace,1576,"Davis, Christopher",5/22/23,,11.7,11/3/82,196-94-5407,7/11/23,6:39,Take-Out,2,mm,0,,,,FALSE,33.94,0,0,Cash,no,0
91,Big Bite Burgers,1589,"Green, David",4/9/22,,16.5,7/13/87,544-47-7241,4/7/24,19:07,Dinner,1,m,8,,,,FALSE,18.14,0.18,0,Cash,yes,10.3125
92,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,5/18/23,,Breakfast,1,m,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,6.78,0.15,0.1,Mobile Payment,no,0
93,Grill & Thrill,1886,"Carter, Grace",7/3/22,7/16/22,10.25,4/28/84,596-20-2242,7/7/22,,Lunch,3,mmm,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,48.59,0.18,0.15,Cash,no,0
94,Big Bite Burgers,1905,"Young, Jackson",4/5/21,4/8/23,15.25,11/16/93,,5/18/22,9:41,Take-Out,2,mu,1,,,,FALSE,41.73,0,0,Credit Card,no,0
95,Patty Palace,2018,"Adams, Chloe",1/2/18,2/9/21,17.75,8/11/72,248-68-7459,7/6/20,13:55,Take-Out,1,f,0,,,,FALSE,15.59,0,0,Credit Card,no,0
96,Patty Palace,1961,"Clark, Abigail",9/10/21,9/19/23,15.25,1/23/02,951-69-4963,8/15/22,6:55,Breakfast,2,ff,0,,,,FALSE,13.97,0.15,0,Mobile Payment,no,0
97,Patty Palace,2770,"Thomas, Benjamin",5/27/22,8/11/22,10.25,4/17/85,192-19-7729,7/8/22,6:08,Take-Out,2,mm,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,40.41,0,0.1,Mobile Payment,no,0
98,Bite & Bun,1585,"Young, Jackson",12/24/23,6/6/24,10.25,9/2/73,302-59-9325,3/16/24,11:41,Lunch,3,ffm,2,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,39.75,0.3,0.15,Credit Card,no,0
99,Burger Haven,1916,"Hall, Lucas",4/22/24,5/17/24,10.25,10/8/03,791-43-3722,5/3/24,19:45,Dinner,1,m,9,,,,FALSE,22.62,0.18,0,Credit Card,yes,10.3125
100,Grill & Thrill,1452,"Allen, Amelia",9/13/22,12/28/22,10.25,9/16/92,908-15-8489,12/5/22,18:10,Take-Out,1,m,1,,,,FALSE,18.98,0,0,Credit Card,no,0
101,Bite & Bun,1585,"Young, Jackson",12/24/23,6/6/24,10.25,9/2/73,302-59-9325,2/8/24,9:16,Breakfast,3,fff,1,,,,FALSE,15.61,0.2,0,Credit Card,no,0
102,The Burger Joint,3154,"Taylor, Ava",5/14/21,,19,12/21/64,,6/23/21,14:06,Lunch,2,mm,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,18.09,0.15,0.15,Cash,no,0
103,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,7/18/21,17:36,Dinner,2,fm,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,45.01,0.18,0.1,Credit Card,yes,20.625
104,Patty Palace,1236,"Baker, Samuel",4/10/24,8/8/24,10.25,10/22/72,902-11-4766,6/22/24,20:53,Dinner,3,mnm,0,,,,FALSE,69.97,0.25,0,Cash,yes,30.9375
105,Burger Haven,2114,"King, Noah",11/2/20,,20.25,5/7/84,237-74-6327,3/1/21,19:14,Dinner,3,mmf,8,,,,FALSE,49.98,0.2,0,Cash,yes,30.9375
106,Bite & Bun,1328,"Lopez, Isabella",2/26/24,3/21/24,10.25,2/24/79,320-44-7104,3/8/24,10:38,Breakfast,2,uf,0,,,,FALSE,20.42,0.2,0,Cash,no,0
107,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,2/24/20,13:48,Lunch,2,ff,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,27.8,0.18,0.1,Mobile Payment,no,0
108,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,7/15/24,10:02,Take-Out,5,mmfun,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,73.5,0,0.15,Cash,no,0
109,Patty Palace,1961,"Clark, Abigail",9/10/21,9/19/23,15.25,1/23/02,951-69-4963,12/28/22,18:45,Dinner,2,fm,4,,,,FALSE,38.18,0.15,0,Mobile Payment,yes,20.625
110,Stacked & Sizzled,2731,"Brown, Olivia",10/21/19,7/7/23,19,,,11/14/20,21:35,Take-Out,1,m,0,,,,FALSE,16.49,0,0,Cash,no,0
111,Big Bite Burgers,1589,"Green, David",4/9/22,,16.5,7/13/87,544-47-7241,12/4/24,19:22,Dinner,1,f,12,,,,FALSE,24.21,0.18,0,Cash,yes,10.3125
112,Big Bite Burgers,2739,"Robinson, Ava",2/15/24,8/15/24,11.5,2/11/81,669-69-5055,5/12/24,11:46,Breakfast,1,f,1,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,7.47,0.18,0.1,Mobile Payment,no,0
113,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,7/13/21,9:47,Take-Out,2,mf,1,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,36.64,0,0.15,Cash,no,0
114,Stacked & Sizzled,2218,"Young, Ethan",7/17/23,,12.75,11/8/97,369-37-1465,6/30/24,16:59,Dinner,1,m,0,,,,FALSE,24.31,0.2,0,Credit Card,yes,10.3125
115,The Burger Joint,2415,"Clark, Sophia",6/28/19,12/11/23,21.5,10/1/66,449-33-2648,6/9/20,18:59,Dinner,2,ff,5,,,,FALSE,40.71,0.2,0,Credit Card,yes,20.625
116,Patty Palace,2770,"Thomas, Benjamin",5/27/22,8/11/22,10.25,4/17/85,192-19-7729,6/13/22,20:07,Dinner,2,mm,0,,,,FALSE,39.95,0.15,0,Credit Card,yes,20.625
117,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,2/19/22,20:09,Take-Out,1,f,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,17.7,0,0.1,Credit Card,no,0
118,Big Bite Burgers,1589,"Green, David",4/9/22,,16.5,7/13/87,544-47-7241,9/18/23,15:53,Take-Out,4,mumm,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,77.25,0,0.15,Mobile Payment,no,0
119,Big Bite Burgers,1905,"Young, Jackson",4/5/21,4/8/23,15.25,11/16/93,,2/25/22,16:45,Dinner,1,m,0,,,,FALSE,22.95,0.15,0,Cash,yes,10.3125
120,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,8/10/21,8:24,Breakfast,2,ff,1,,,,FALSE,16.33,0.2,0,Credit Card,no,0
121,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,3/23/23,19:43,Dinner,4,muuf,9,,,,FALSE,82.27,0.2,0,Cash,no,0
122,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,2/12/24,9:12,Breakfast,1,f,1,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,5.32,0.25,0.1,Credit Card,no,0
123,The Burger Joint,2865,"Lewis, Emily",12/18/19,,22.75,5/26/00,689-32-5168,12/2/20,16:53,Take-Out,1,m,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,17.82,0,0.1,Mobile Payment,no,0
124,Burger Haven,2770,"Thomas, Benjamin",5/27/22,8/11/22,10.25,4/17/85,192-19-7729,6/18/22,6:41,Breakfast,1,u,0,,,,FALSE,12.47,0.15,0,Credit Card,no,0
125,Stacked & Sizzled,2599,"Carter, Lucas",1/22/21,8/13/23,16.5,8/25/92,202-42-1725,2/26/22,6:27,Breakfast,3,mff,0,,,,FALSE,21.15,0.18,0,Credit Card,no,0
126,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,7/25/23,18:41,Take-Out,1,n,1,,,,FALSE,19.21,0,0,Mobile Payment,no,0
127,Patty Palace,2018,"Adams, Chloe",1/2/18,2/9/21,17.75,8/11/72,248-68-7459,8/8/19,18:39,Dinner,2,mf,20,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,40.72,0.15,0.1,Cash,no,0
